"Whisky","Meta Critic","STDEV","#","Cost","Class","Super Cluster","Cluster","Country","Type"
"Forty Creek Copper Pot Reserve","8.71","0.41","12","$","Rye-like","","","Canada","Blend"
"Forty Creek Double Barrel Reserve","8.8","0.38","11","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Evolution","8.93","0.67","6","$$$","Rye-like","","","Canada","Blend"
"Forty Creek Heart of Gold","8.83","0.44","7","$$$$","Rye-like","","","Canada","Blend"
"Forty Creek Port Wood Reserve 2011/2012","8.83","0.3","8","$$$$","Rye-like","","","Canada","Blend"
"Forty Creek Three Grain Harmony","8.24","0.71","4","$$$","Rye-like","","","Canada","Blend"
"Four Roses (Yellow Label)","8.32","0.25","8","$","Bourbon-like","","","USA","Bourbon"
"Four Roses Single Barrel Bourbon","8.74","0.38","16","$$$","Bourbon-like","","","USA","Bourbon"
"Four Roses Small Batch Bourbon","8.42","0.41","10","$$","Bourbon-like","","","USA","Bourbon"
"Four Roses Small Batch Limited Edition","9.25","0.14","9","$$$$$+","Bourbon-like","","","USA","Bourbon"
"George Dickel No.12","8.28","0.43","12","$$","Bourbon-like","","","USA","Bourbon"
"George Dickel Rye","8.48","0.24","8","$$","Rye-like","","","USA","Rye"
"George T Stagg","9.24","0.29","16","$$$$$+","Bourbon-like","","","USA","Bourbon"
"Gibson's Finest 12yo","8.02","0.83","10","$","Rye-like","","","Canada","Blend"
"Gibson's Finest Rare 18yo","9.11","0.37","10","$$$$","Rye-like","","","Canada","Blend"
"Gibson's Finest Sterling","8.05","0.45","8","$","Rye-like","","","Canada","Blend"
"Glen Breton 10yo","8.11","0.48","11","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Glen Breton 14yo","8.07","0.67","6","$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Glen Breton 21yo","8.3","0.48","3","$$$$","SingleMalt-like","EF","E","Canada",""
"Glen Breton Battle of the Glen 15yo","8.57","0.31","6","$$$$$","SingleMalt-like","GH","G","Canada","Malt"
"Glen Deveron 10yo (Macduff)","7.94","0.42","5","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Elgin 12yo","8.43","0.25","11","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Garioch 12yo","8.66","0.35","12","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glen Garioch 1995","8.96","0.43","6","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Garioch Founder's Reserve","8.32","0.44","13","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Grant 10yo","8.44","0.51","5","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glen Moray 12yo","7.79","0.52","11","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Moray Classic","7.96","0.24","5","$","SingleMalt-like","GH","G","Scotland","Malt"
"Glen Ord Singleton of Glen Ord 12yo","8.34","0.13","3","","SingleMalt-like","EF","E","Scotland","Malt"
"Glen Scotia 12yo","8.21","0.64","5","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glen Spey 12yo (F&F)","8","0.56","4","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glenburgie 10yo (Gordon & MacPhail)","7.96","0.45","7","$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glencadam 10yo","8.46","0.52","9","$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glencadam 21yo","8.88","0.28","8","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Glendalough 7yo Single Malt Irish Whiskey","8.05","0.37","3","$$$","SingleMalt-like","GH","G","Ireland","Malt"
"GlenDronach 12yo Original","8.62","0.23","18","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 12yo Sauternes Cask Finish","8.94","0.16","3","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 14yo Sauternes Cask Finish","8.39","0.41","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 14yo Virgin Oak","8.52","0.34","10","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"GlenDronach 15yo Revival","8.95","0.32","16","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 18yo Allardice","8.72","0.44","13","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 18yo Tawny Port Finish","8.6","0.45","4","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach 8yo The Hielan","8.47","0.39","7","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"GlenDronach Cask Strength (all four batches)","9.07","0.18","10","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"GlenDronach Peated","8.37","0.24","3","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Glendullan Singleton of Glendullan 12yo","8.03","0.49","11","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfarclas 105 (NAS)","8.77","0.38","18","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 10yo","8.36","0.37","10","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfarclas 12yo","8.63","0.39","14","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 15yo","8.68","0.27","12","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfarclas 17yo","8.76","0.28","15","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfarclas 21yo","8.61","0.37","9","$$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenfarclas 25yo","8.8","0.32","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfarclas 40yo","9.3","0.33","10","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfiddich 12yo","8.09","0.26","21","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenfiddich 14yo Rich Oak","8.71","0.3","7","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich 15yo Distillers Edition","8.78","0.34","10","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich 15yo Solera","8.6","0.26","17","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfiddich 18yo","8.58","0.45","13","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich 1963 Original Malt","8.42","0.53","3","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenfiddich 19yo Age of Discovery (Bourbon Cask)","8.81","0.37","6","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenfiddich 19yo Age of Discovery (Madeira Cask)","8.41","0.38","10","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenfiddich 21yo Gran Reserva","8.74","0.33","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenfiddich 26yo Excellence","8.75","0.51","6","$$$$$+","SingleMalt-like","GH","G","Scotland","Malt"
"Glenfiddich Cask of Dreams","8.8","0.28","6","$$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenfiddich Malt Master's Edition","8.3","0.33","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenglassaugh 26yo","8.54","0.56","5","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne 10yo","8.24","0.35","11","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glengoyne 12yo","8.54","0.43","9","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne 12yo Cask Strength","8.54","0.41","9","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne 15yo","8.47","0.54","8","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengoyne 17yo","8.45","0.21","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glengoyne 18yo","8.58","0.44","10","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glengoyne 21yo","8.87","0.22","12","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glengoyne Cask Strength","8.76","0.47","5","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glengyle Work in Progress Kilkerran","8.42","0.12","3","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenkinchie 12yo","8.28","0.19","11","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenkinchie Distiller's Edition (all editions)","8.38","0.3","11","$$$$","SingleMalt-like","GH","B","Scotland","Malt"
"Glenlivet 12yo","8.04","0.32","18","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet 15yo French Oak","8.4","0.27","15","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenlivet 18yo","8.6","0.19","17","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet 21yo Archive (all batches)","8.88","0.33","11","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet Founder's Reserve","7.94","0.47","9","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet Nadurra 16yo","8.89","0.19","19","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenlivet Nadurra First Fill (White Oak)","9.08","0.27","3","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenlivet Nadurra Oloroso","8.18","0.66","6","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenlivet XXV 25yo","8.97","0.21","8","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenlossie 10yo (F&F)","8.16","0.34","8","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenmorangie 10yo ""Original""","8.49","0.48","21","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenmorangie 18yo ""Extremely Rare""","8.67","0.23","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenmorangie Dornoch","8.81","0.46","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Duthac","8.59","0.29","7","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Ealanta","8.89","0.34","11","$$$$$+","SingleMalt-like","EF","F","Scotland","Malt"
"Glenmorangie Lasanta","8.44","0.34","16","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Milsean","8.48","0.54","3","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Nectar d'Or","8.84","0.29","17","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenmorangie Quinta Ruban","8.58","0.53","19","$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenmorangie Signet","8.97","0.4","16","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Taghta","8.68","0.33","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Glenmorangie Tusail","8.89","0.34","7","$$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Glenrothes Select Reserve","7.93","0.33","11","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Sherry Cask Reserve","8.09","0.87","7","$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Glenrothes Vintage 1995 (2011/2012/2014 bottlings)","8.63","0.28","12","$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glenrothes Vintage 1998 (2014)","8.33","0.64","9","$$$$","SingleMalt-like","EF","F","Scotland","Malt"
"Glenrothes Vintage Reserve (NAS)","8.69","0.28","3","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Glentauchers 1991 18yo (Gordon & MacPhail)","8.43","0.27","3","$$$$","SingleMalt-like","ABC","B","Scotland","Malt"
"Glenturret 10yo","8.17","0.51","10","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Gooderham & Worts Four Grain","8.61","0.34","6","$$","Rye-like","","","Canada","Blend"
"Grant's Blended Sherry Cask","8.01","0.2","5","$","Scotch-like","","","Scotland","Blend"
"Grant's Family Reserve Blended","7.69","0.64","11","$","Scotch-like","","","Scotland","Blend"
"Green Spot","8.52","0.45","12","$$$","Scotch-like","","","Ireland","Blend"
"Hakushu 10yo","8.81","0.34","4","$$$","SingleMalt-like","GH","H","Japan","Malt"
"Hakushu 12yo","8.73","0.23","15","$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Hakushu 18yo","8.83","0.29","7","$$$$$","SingleMalt-like","EF","F","Japan","Malt"
"Hakushu NAS","8.3","0.41","5","","SingleMalt-like","GH","H","Japan","Malt"
"Hakushu Sherry Cask","9.01","0.46","7","$$$$$+","SingleMalt-like","ABC","B","Japan","Malt"
"Hakushu Single Malt Heavily Peated","8.81","0.35","12","$$$$$+","SingleMalt-like","I","I","Japan","Malt"
"Hazelburn 12yo (Springbank)","8.67","0.23","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Hazelburn 8yo (Springbank)","8.42","0.37","11","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Hibiki 12yo","8.62","0.26","18","$$$$","SingleMalt-like","GH","G","Japan","Blend"
"Hibiki 17yo","8.71","0.36","11","$$$$$","SingleMalt-like","EF","E","Japan","Blend"
"Hibiki 21yo","9.15","0.26","7","$$$$$+","SingleMalt-like","EF","E","Japan","Blend"
"Hibiki Harmony NAS","8.39","0.78","10","$$$$","SingleMalt-like","GH","G","Japan","Blend"
"High West American Prairie Reserve","8.65","0.17","3","$$$","Bourbon-like","","","USA","Bourbon"
"High West Bourye","8.95","0.37","3","$$$$","Rye-like","","","USA","Blend"
"High West Campfire","8.86","0.39","6","$$$$","Scotch-like","","","USA","Blend"
"High West Double Rye","8.78","0.33","9","$$$","Rye-like","","","USA","Rye"
"High West Midwinter Night’s Dram Rye","9.25","0.15","6","$$$$$","Rye-like","","","USA","Rye"
"High West Rendezvous Rye","8.92","0.33","12","$$$$","Rye-like","","","USA","Rye"
"High West Son of Bourye","8.43","0.46","9","$$$","Rye-like","","","USA","Blend"
"Highland Park 10yo","8.54","0.3","11","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 12yo (all reviews)","8.68","0.23","19","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 12yo (reviews post-mid 2014)","8.39","0.4","10","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 12yo (reviews pre-mid 2014)","8.83","0.26","15","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park 16yo Odin","9.15","0.3","6","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 18yo","9.17","0.26","20","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 21yo","8.89","0.41","14","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 25yo","9.2","0.25","12","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 30yo","9.06","0.42","9","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park 40yo","9.07","0.4","8","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park Dark Origins","8.51","0.53","14","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Highland Park Einar","8.33","0.47","5","$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park Sigurd","9.09","0.32","7","$$$$$","SingleMalt-like","I","I","Scotland","Malt"
"Highland Park Svein","8.33","0.16","9","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Highwood Ninety 5yo","8.39","0.56","5","$","Rye-like","","","Canada","Blend"
"Highwood Ninety Rye 20yo","8.96","0.25","7","$$","Rye-like","","","Canada","Blend"
"Hiram Walker Special Old Rye","8.19","0.41","8","$$","Rye-like","","","Canada","Blend"
"Ichiro's Malt Chichibu The First","8.57","0.36","11","$$$$$","SingleMalt-like","GH","G","Japan","Malt"
"Ichiro's Malt Chichibu The Peated","8.85","0.42","6","$$$$$+","SingleMalt-like","J","J","Japan","Malt"
"Ichiro's Malt Double Distilleries","8.68","0.28","6","$$$$$","SingleMalt-like","EF","E","Japan","Malt"
"Ichiro's Malt Mizunara Wood Reserve (MWR)","8.23","0.55","7","$$$$$","SingleMalt-like","GH","H","Japan","Malt"
"Ichiro's Malt The Joker","9.3","0.21","4","$$$$$+","SingleMalt-like","EF","F","Japan","Malt"
"Inchgower 14yo (F&F)","8.71","0.49","7","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Islay Mist 8yo","7.98","0.42","9","$","Scotch-like","","","Scotland","Blend"
"J&B Rare","7.1","1.07","9","$","Scotch-like","","","Scotland","Blend"
"J.P. Wiser's Double Still Rye","8.4","0.05","3","$","Rye-like","","","Canada","Blend"
"J.P. Wiser's Hopped Canadian Whisky","8.24","0.45","4","$","Rye-like","","","Canada","Blend"
"J.P. Wiser’s Rye","8","0.43","8","$","Rye-like","","","Canada","Blend"
"Jack Daniel's Gentleman Jack","7.86","0.45","11","$$","Bourbon-like","","","USA","Bourbon"
"Jack Daniel's Single Barrel","8.47","0.42","12","$$$","Bourbon-like","","","USA","Bourbon"
"Jack Daniels's Old No. 7","8.07","0.43","11","$$","Bourbon-like","","","USA","Bourbon"
"Jameson 12yo Special Reserve","8.39","0.28","8","$$$$","Scotch-like","","","Ireland","Blend"
"Jameson Caskmates","8.22","0.38","6","$$","Scotch-like","","","Ireland","Blend"
"Jameson Gold Reserve","8.5","0.45","8","$$$$","Scotch-like","","","Ireland","Blend"
"Jameson Irish Whiskey","7.82","0.58","17","$$","Scotch-like","","","Ireland","Blend"
"Jameson Select Reserve (Black Barrel)","8.34","0.42","14","$$","Scotch-like","","","Ireland","Blend"
"Jameson Signature Reserve","8.42","0.45","3","$$","Scotch-like","","","Ireland","Blend"
"Jefferson's Reserve Very Old Kentucky Straight Bourbon","8.51","0.37","5","$$$","Bourbon-like","","","USA","Bourbon"
"Jefferson's Straight Rye 10yo","8.58","0.47","4","$$$","Rye-like","","","USA","Rye"
"Jefferson's Very Small Batch Bourbon","8.24","0.32","7","$$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Black Label","8.23","0.45","13","$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Devil's Cut","8.13","0.53","14","$","Bourbon-like","","","USA","Bourbon"
"Jim Beam Pre-prohibition Rye","8.5","0.46","4","$","Rye-like","","","USA","Rye"
"Jim Beam Red Stag (Black Cherry)","7.46","0.94","4","$","Bourbon-like","","","USA","Flavoured"
"Jim Beam Rye","7.85","0.69","7","$","Rye-like","","","USA","Rye"
"Jim Beam White Label","7.72","0.36","15","$","Bourbon-like","","","USA","Bourbon"
"Johnnie Walker Black Label","8.37","0.5","19","$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Blue Label","8.5","0.36","12","$$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Double Black","8.52","0.33","13","$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Green Label","8.51","0.44","12","$$$$","Scotch-like","","","Scotland","Blend"
"Johnnie Walker Red Label","7.46","0.63","15","$","Scotch-like","","","Scotland","Blend"
"Jura 10yo Origin","8.03","0.41","15","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Jura 12yo Elixir","8.33","0.52","9","$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura Brooklyn","8.81","0.23","6","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Jura Prophecy","8.68","0.34","14","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Jura Superstition","8.22","0.49","16","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Kakubin (Suntory Whisky)","8.17","0.85","4","$$","Scotch-like","","","Japan","Blend"
"Karuizawa 1990 Sherry Butt","9.05","0.31","4","$$$$$+","SingleMalt-like","ABC","A","Japan","Malt"
"Karuizawa Asama Vintages 1999-2000","8.72","0.5","6","$$$$$+","SingleMalt-like","ABC","C","Japan","Malt"
"Kavalan Concertmaster Port Cask","8.39","0.48","14","$$$$","SingleMalt-like","ABC","C","Taiwan","Malt"
"Kavalan King Car","8.53","0.26","7","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Kavalan Podium","8.81","0.42","5","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Kavalan Sherry Oak","9.11","0.48","3","$$$$$","SingleMalt-like","ABC","B","Taiwan","Malt"
"Kavalan Single Malt Whisky","8.48","0.58","13","$$$$","SingleMalt-like","GH","G","Taiwan","Malt"
"Kavalan Soloist Ex-Bourbon","8.86","0.31","13","$$$$$","SingleMalt-like","EF","E","Taiwan","Malt"
"Kavalan Soloist Fino Sherry Cask","9.18","0.25","8","$$$$$+","SingleMalt-like","ABC","A","Taiwan","Malt"
"Kavalan Soloist Sherry Cask","9.24","0.32","10","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Kavalan Soloist Vinho Barrique","8.97","0.39","11","$$$$$","SingleMalt-like","ABC","A","Taiwan","Malt"
"Kilbeggan Irish Reserve Malt Whiskey","8.08","0.52","5","$$","SingleMalt-like","GH","G","Ireland","Malt"
"Kilchoman 100% Islay (all editions)","8.81","0.3","14","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Loch Gorm","9.06","0.17","14","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Machir Bay (2012/2013/2014)","8.82","0.27","18","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kilchoman Winter 2010 Release","8.55","0.17","4","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Kirin 18yo (Fuji Sanroku)","8.98","0.6","3","$$$$$+","SingleMalt-like","GH","G","Japan","Malt"
"Kirin 50% Blend (Fuji Gotemba)","8.35","0.51","3","$$$$","Scotch-like","","","Japan","Blend"
"Knob Creek Single Barrel Reserve Bourbon","8.88","0.35","8","$$$","Bourbon-like","","","USA","Bourbon"
"Knob Creek Small Batch 9yo Bourbon","8.65","0.43","18","$$","Bourbon-like","","","USA","Bourbon"
"Knob Creek Small Batch Straight Rye Whiskey","8.57","0.44","12","$$$","Rye-like","","","USA","Rye"
"Knockando 12yo (All Vintages)","7.92","0.43","12","$$","SingleMalt-like","GH","G","Scotland","Malt"
"Koval Single Barrel Bourbon","8.63","0.23","4","$$$","Bourbon-like","","","USA","Bourbon"
"Koval Single Barrel Four Grain","8.44","0.26","4","$$$$","Bourbon-like","","","USA","Grain"
"Koval Single Barrel Millet Whiskey","8.15","0.37","4","$$$","Bourbon-like","","","USA","Grain"
"Koval Single Barrel Rye","7.7","0.33","3","$$$","Rye-like","","","USA","Rye"
"Lagavulin 12yo Cask Strength","9.23","0.14","16","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin 16yo","9.3","0.25","23","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Lagavulin Distiller's Edition (All Vintages)","9.13","0.28","16","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 10yo","8.92","0.25","17","$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 15yo (200th Anniversary)","8.86","0.32","13","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 18yo","9.07","0.29","15","$$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig 25yo","9.21","0.3","11","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig Cairdeas 2013 Port Wood","8.82","0.52","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Laphroaig Cairdeas 2014 Amontillado","9.02","0.22","7","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Cairdeas 2015","9.18","0.21","6","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Laphroaig Quarter Cask","9.1","0.22","19","$$$$","SingleMalt-like","J","J","Scotland","Malt"
"Larceny Small Batch Bourbon","8.49","0.23","6","$$","Bourbon-like","","","USA","Bourbon"
"Ledaig 10yo (Tobermory)","8.22","0.37","15","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Linkwood 12yo (F&F)","8.61","0.36","6","$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Loch Lomond","7.19","0.38","6","$","SingleMalt-like","GH","H","Scotland","Malt"
"Longmorn 16yo","8.7","0.34","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Longrow Peated (NAS)","8.81","0.26","16","$$$","SingleMalt-like","I","I","Scotland","Malt"
"Lot 40","8.91","0.42","16","$$","Rye-like","","","Canada","Rye"
"Macallan 10yo (OB, Sherry Oak)","8.47","0.41","7","$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 10yo Fine Oak","8.23","0.33","14","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 12yo Fine Oak","8.48","0.41","13","$$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Macallan 1824 Amber","8.35","0.39","11","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Macallan 1824 Gold","8.3","0.3","14","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Macallan 1824 Rare Cask","8.76","0.46","8","$$$$$+","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 1824 Ruby","8.83","0.2","11","$$$$$","SingleMalt-like","ABC","A","Scotland","Malt"
"Macallan 1824 Sienna","8.84","0.33","14","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 18yo Fine Oak","8.83","0.33","11","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Macallan 30yo Fine Oak","8.59","0.37","6","$$$$$+","SingleMalt-like","ABC","C","Scotland","Malt"
"Mackinlay 'Shackleton' Rare Old Highland Malt Whisky","8.88","0.33","14","$$$$$","SingleMalt-like","GH","H","Scotland","Malt"
"Mackmyra Special 04","8.79","0.39","8","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Mackmyra Special 08","8.36","0.34","3","$$$$","SingleMalt-like","EF","E","Sweden","Malt"
"Mackmyra The First Edition Swedish Whisky","8.74","0.35","15","$$$","SingleMalt-like","GH","H","Sweden","Malt"
"Maker's Mark","8.25","0.46","20","$$","Bourbon-like","","","USA","Bourbon"
"Maker's Mark 46","8.9","0.2","12","$$$","Bourbon-like","","","USA","Bourbon"
"Maker's Mark Cask Strength","8.8","0.47","6","$$$$","Bourbon-like","","","USA","Bourbon"
"Mannochmore 12yo (F&F)","8.27","0.14","4","$$$","SingleMalt-like","GH","G","Scotland","Malt"
"Masterson's Straight Barley 10yo","8.54","0.69","6","$$$$","Rye-like","","","Canada","Barley"
"Masterson's Straight Rye 10yo","8.92","0.47","14","$$$$","Rye-like","","","Canada","Rye"
"Masterson's Straight Wheat 12yo","8.67","0.24","8","$$$$","Rye-like","","","Canada","Wheat"
"Michter's US*1 Single Barrel Rye","8.79","0.56","6","$$$","Rye-like","","","USA","Rye"
"Michter's US*1 Small Batch Bourbon","8.46","0.39","7","$$$","Bourbon-like","","","USA","Bourbon"
"Midleton Very Rare Irish Whiskey","8.82","0.59","8","$$$$$","SingleMalt-like","EF","E","Ireland","Blend"
"Millstone Rye 100%","8.84","0.34","6","$$$$","Rye-like","","","Netherlands","Rye"
"Miltonduff 10yo (F&F)","8.06","0.49","4","$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Monkey Shoulder","8.29","0.42","13","$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mortlach 15yo (Gordon & MacPhail)","8.74","0.39","10","$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mortlach 16yo (F&F)","8.69","0.32","8","$$$$$","SingleMalt-like","ABC","C","Scotland","Malt"
"Mortlach Rare Old","8.56","0.41","10","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Mortlach Special Strength","8.74","0.64","5","$$$$$","SingleMalt-like","EF","E","Scotland","Malt"
"Nikka All Malt","8.46","0.17","8","$$","SingleMalt-like","EF","E","Japan","Malt"
"Nikka Coffey Grain","8.67","0.5","14","$$$$","Scotch-like","","","Japan","Grain"
